station_id,station_name,lat,lon
31658,Rosedale Rec Center,38.897808,-76.979634
31659,11th & C St SE,38.885908,-76.991476
31660,8th & K St NE,38.90273208212539,-76.99514995539961
31661,8th & H St NE,38.89994181344238,-76.99489676555251
31662,1st & K St NE,38.902386,-77.005649
31712,Oklahoma Ave & D St NE,38.894474,-76.974828
31716,Kingman Island/The Fields at RFK,38.89595477850377,-76.96784492180126
31802,Good Hope Rd & MLK Ave SE,38.867373,-76.988039
31803,Good Hope Rd & 14th St SE,38.866611,-76.985238
31804,Anacostia Library,38.865784,-76.9784
31805,Pennsylvania & Minnesota Ave SE,38.873057,-76.971015
31812,16th & Q St SE / Anacostia HS,38.870695,-76.982359
31820,Anacostia Park,38.87335,-76.9834
